value_norm,Akkademia_df,CDLI_df,Cuneiml_df,Nuolenna_df,TextFabric_df,osl_df,wiki_df,oslID
(še.nun&nun)&(še.nun&nun).gad&gad.gar&gar,,𒌄,,𒌄,,,,
(še.nun&nun)&(še.nun&nun).lagab,,𒌃𒆸,,𒌃𒆸,,,,
(še.nun&nun)&(še.nun&nun).lagab.lagab,,𒌃𒆸𒆸,,𒌃𒆸𒆸,,,,
(še.nun&nun)×tak₄,,𒌂,,𒌂,,,,
(šedu3),,,𒀆,,,,,
(šedur),,,𒇤,,,,,
(šeg5),,,𒍋,,,,,
(šembulug),,,𒁒,,,,,
(šembulug3),,,𒋌,,,,,
(šembulug4),,,𒋈,,,,,
(šemešal),,,𒋑,,,,,
(šerimsur),,,𒇜,,,,,
(šita),,,𒋖,,,,,
(šuš5),,,𒇟,,,,,
(šuš6),,,𒇠,,,,,
(šušur),,,𒀼,,,,,
(šušur2),,,𒀽,,,,,
",i2",,,𒐊,,,,,
",tu",,,𒌅,,,,,
...asz,𒈏,𒈏,,,,,,
...aš,𒈏,𒈏,,𒈏,,,,
...ba,𒆠𒇴,,,𒆠𒇴,,,,
...bun,𒇮,,,𒇮,,,,
...e,𒃬,,,𒃬,,,,
...ga,𒆠𒁉𒆕,,,𒆠𒁉𒆕,,,,
...gi,𒃰𒋺𒄑,𒃰𒋺𒄑,,,,,,
...gukin,𒊛,,,𒊛,,,,
...id,𒈀𒇲,𒈀𒇲,,,,,,
...ingara,𒂍𒄑𒌆𒉿𒀭𒊺𒉀,,,𒂍𒄑𒌆𒉿𒀭𒊺𒉀,,,,
...ki,𒀴,,,𒀴,,,,
...la,𒂍𒆠𒋧𒂵,,,𒂍𒆠𒋧𒂵,,,,
...luku,𒅆𒆳,,,𒅆𒆳,,,,
...nunnam...,𒆲,,,𒆲,,,,
...ri,𒉣,,,𒉣,,,,
...rig,𒉨,,,𒉨,,,,
...tallu,𒈍,,,𒈍,,,,
/,𒑰,,𒑰,𒑰,,𒑰,,
/ad/,𒈕,,,𒈕,,,,
/allura/,𒁃,,,𒁃,,,,
/damal/,𒂼,,,𒂼,,,,
/dimer/,𒀭,,,𒀭,,,,
/eneŋ/,𒅗,,,𒅗,,,,
/mal/,𒅅,,,𒅅,,,,
/mutin/,𒃾,,,𒃾,,,,
/nerim/,𒉈𒊒,,,𒉈𒊒,,,,
/szitlam/,𒁶,𒁶,,,,,,
/szumdum/,𒅻,𒅻,,,,,,
/szumun/,𒍤𒆸,𒍤𒆸,,,,,,
/teszlug/,𒈊,𒈊,,,,,,
/tešlug/,𒈊,,,𒈊,,,,
/zeŋ/,𒋧,,,𒋧,,,,
/ŋeresz/,𒀵,𒀵,,,,,,
/ŋereš/,𒀵,,,𒀵,,,,
/šitlam/,𒁶,,,𒁶,,,,
/šumdum/,𒅻,,,𒅻,,,,
/šumun/,𒍤𒆸,,,𒍤𒆸,,,,
01,,𒁹,,𒁹,,,,
010,,𒌋,,𒌋,,,,
0161,,,𒐖 𒐏 𒁹,,,,,
02,,𒈫,,𒈫,,,,
020,,𒌋𒌋,,𒌋𒌋,,,,
03,,𒐈,,𒐈,,,,
030,,𒌍,,𒌍,,,,
04,,𒐉,,𒐉,,,,
040,,𒐏,,𒐏,,,,
05,,𒐊,,𒐊,,,,
050,,𒐐,,𒐐,,,,
06,,𒐋,,𒐋,,,,
060,,𒐕,,𒐕,,,,
07,,𒐌,,𒐌,,,,
070,,𒐕𒌋,,𒐕𒌋,,,,
08,,𒐍,,𒐍,,,,
09,,𒑆,,𒑆,,,,
1,,𒁹,𒁹,𒁹,𒀸。𒁹,,,
1 9,,,𒁹 𒑆,,,,,
1 kug,,,𒁹 𒆬,,,,,
1(asz),𒀸,𒀸,𒀸,,,,,
1(asz@c),𒀸,𒀸,,,,,,
1(asz@t),𒀹,𒀹,,,,,,
1(asz@t@c),𒀹,𒀹,,,,,,
1(aš),𒀸,,,𒀸,,𒀸,,
1(aš@c),𒀸,,,𒀸,,𒀸,,
1(aš@c@90),,,,,,𒁹,,
1(aš@c~a),,,,,,󰀉,,
1(aš@t),𒀹,,,𒀹,,𒀹,,
1(aš@t@c),𒀹,,,𒀹,,𒀹,,
1(aš@v),,,,,,󰀉,,
1(ban2),𒑏,𒑏,𒑏,,,,,
1(ban2@c),𒑏,𒑏,,,,,,
1(ban₂),𒑏,,,𒑏,,𒑏,,
1(ban₂@c),𒑏,,,𒑏,,󰁅,,
1(barig),𒁹,,,𒁹,,𒁹,,
1(barig@c),𒁹,,,𒁹,,𒁹,,
1(barig@v),,,,,,𒑣,,
1(bariga),𒁹,,,𒁹,,𒁹,,
1(bariga)@v,,,,,,𒑣,,
1(bariga@c),𒁹,,,𒁹,,𒁹,,
1(bur'u),𒐴,𒐴,,,,,,
1(bur'u@c),𒐴,𒐴,,,,,,
1(bur3),𒌋,𒌋,𒌋,,,,,
1(bur3@c),𒌋,𒌋,,,,,,
1(burʾu),𒐴,,,𒐴,,𒐴,,
1(burʾu@c),𒐴,,,𒐴,,𒐴,,
1(bur₃),𒌋,,,𒌋,,𒌋,,
1(bur₃)~a,,,,,,󰀒,,
1(bur₃@c),𒌋,,,𒌋,,󰀒,,
1(bur₃@v),,,,,,󰀒,,
1(disz),𒁹,𒁹,𒁹,,,,,
1(disz@c),𒁹,𒁹,,,,,,
1(diš),𒁹,,,𒁹,,𒁹,,
1(diš@c),𒁹,,,𒁹,,𒁹,,
1(diš@t),,,,,,𒀹,,
1(esze3),𒑘,𒑘,,,,,,
1(esze3@c),𒑘,𒑘,,,,,,
1(eše@c),,,,,,𒌍,,
1(eše₃),𒑘,,,𒑘,,𒑘,,
1(eše₃@c),𒑘,,,𒑘,,𒑘,,
1(gesz'u),𒐞,𒐞,,,,,,
1(gesz'u@c),𒐞,𒐞,,,,,,
1(gesz2),𒐕,𒐕,𒐕,,,,,
1(gesz2@c),𒐕,𒐕,,,,,,
1(geszu),𒐞,𒐞,,,,,,
1(geszu@c),𒐞,𒐞,,,,,,
1(geš2),,,𒐕,,,,,
1(gešmin@c),,,,,,None,,
1(gešminʾu@c),,,,,,None,,
1(gešu),𒐞,,,𒐞,,𒐞,,
1(gešu@c),𒐞,,,𒐞,,𒐞,,
1(gešʾu),𒐞,,,𒐞,,𒐞,,
1(gešʾu@c),𒐞,,,𒐞,,𒐞,,
1(gešʾu@v),,,,,,󰀫,,
1(geš₂),𒐕,,,𒐕,,𒐕,,
1(geš₂@c),𒐕,,,𒐕,,𒐕,,
1(geš₂@c@90),,,,,,󰀜,,
1(geš₂@t),,,,,,󰀟,,
1(iku),𒀸,𒀸,,,,𒀸,,
1(iku@c),,,,,,𒀸。𒃷,,
1(iku@t),,,,,,None。𒀹,,
1(szar'u),𒐬,𒐬,,,,,,
1(szar'u@c),𒐬,𒐬,,,,,,
1(szar2),𒊹,𒊹,,,,,,
1(szar2@c),𒊹,𒊹,,,,,,
1(szargal),𒊹,𒊹,,,,,,
1(szargal@c),𒊹,𒊹,,,,,,
1(szaru),𒐬,𒐬,,,,,,
1(szaru@c),𒐬,𒐬,,,,,,
1(szu),𒋗,𒋗,,,,,,
1(szu@c),𒋗,𒋗,,,,,,
1(u),𒌋,,𒌋,𒌋,,𒌋,,
1(u@c),𒌋,,,𒌋,,󰀒,,
1(ŋešmin@c),,,,,,None,,
1(ŋešminʾu@c),,,,,,None,,
1(ŋešʾu),,,,,,𒐞,,
1(ŋešʾu@c),,,,,,𒐞,,
1(ŋešʾu@v),,,,,,󰀫,,
1(ŋeš₂),,,,,,𒐕,,
1(ŋeš₂@c),,,,,,𒐕,,
1(ŋeš₂@c@90),,,,,,󰀜,,
1(ŋeš₂@t),,,,,,󰀟,,
1(šargal),𒊹,,,𒊹,,𒊹,,
1(šargal@c),𒊹,,,𒊹,,𒊹,,
1(šargal~a),,,,,,𒄱,,
1(šaru),𒐬,,,𒐬,,𒐬,,
1(šaru@c),𒐬,,,𒐬,,𒐬,,
1(šaru@v),,,,,,󰀵,,
1(šaru@v@c),,,,,,󰀳,,
1(šarugal@c),,,,,,𒐬,,
1(šaruʾgal@c),,,,,,𒐬,,
1(šarʾu),𒐬,,,𒐬,,𒐬,,
1(šarʾu@c),𒐬,,,𒐬,,𒐬,,
1(šarʾu@v),,,,,,󰀵。󰁄,,
1(šarʾu@v@c),,,,,,󰀳,,
1(šar₂),𒊹,,,𒊹,,𒊹,,
1(šar₂@c),𒊹,,,𒊹,,𒊹,,
1(šar₂@c@v),,,,,,𒊹,,
1(šu),𒋗,,,𒋗,,𒋗,,
1(šu@c),𒋗,,,𒋗,,𒋗,,
1/2,,𒈦,𒈦,𒈦,,,,
1/2(aš),,,,,,𒑏,,
1/2(aš@c),,,,,,󰁅,,
1/2(aš@c@90),,,,,,𒁹,,
